ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YDL117W,CYK3,,dma705,450,93,0.2066666666666666,1.0,0.3978494623655914,0.0,0.1720430107526881,0.1397849462365591,0.010752688172043,0.0,0.021505376344086,0.0,0.1935483870967742,0.0,0.064516129032258
YCR044C,PER1,per1-supp1,dma575,529,158,0.2986767485822306,1.0,0.3670886075949367,0.0,0.1835443037974683,0.1075949367088607,0.0,0.0,0.0189873417721519,0.0,0.2278481012658227,0.0,0.0949367088607595
YDL100C,GET3,,dma690,433,83,0.1916859122401847,1.0,0.0240963855421686,0.0,0.5903614457831325,0.036144578313253,0.0,0.0,0.0,0.0,0.3132530120481928,0.0,0.036144578313253
YDL162C,,,dma741,509,77,0.1512770137524558,1.0,0.1428571428571428,0.0,0.2857142857142857,0.0779220779220779,0.0259740259740259,0.0,0.0129870129870129,0.0,0.3766233766233766,0.0,0.0779220779220779
YBR231C,SWC5,,dma400,297,86,0.2895622895622896,1.0,0.0,0.0,0.6627906976744186,0.0116279069767441,0.0,0.0,0.0116279069767441,0.0,0.3023255813953488,0.0,0.0116279069767441
YDL006W,PTC1,,dma620,425,126,0.2964705882352941,1.0,0.0079365079365079,0.0,0.5793650793650794,0.0079365079365079,0.0,0.0,0.0,0.0,0.2936507936507936,0.0,0.1111111111111111
YDL002C,NHP10,,dma621,700,100,0.1428571428571428,1.0,0.24,0.0,0.33,0.06,0.0,0.0,0.05,0.0,0.27,0.0,0.05
YCR068W,ATG15,,dma583,604,159,0.2632450331125828,1.0,0.0125786163522012,0.0,0.5471698113207547,0.0566037735849056,0.0,0.0,0.0,0.0,0.3522012578616352,0.0,0.0314465408805031
YCR063W,BUD31,,dma586,127,30,0.2362204724409448,1.0,0.1,0.0,0.4333333333333333,0.0333333333333333,0.0,0.0,0.0,0.0,0.4333333333333333,0.0,0.0
YDL056W,MBP1,,dma659,1262,284,0.225039619651347,1.0,0.352112676056338,0.0,0.3274647887323944,0.0809859154929577,0.0176056338028169,0.0,0.0070422535211267,0.0,0.1795774647887324,0.0,0.0352112676056338
YDL125C,HNT1,,dma698,398,66,0.1658291457286432,1.0,0.0454545454545454,0.0,0.4242424242424242,0.106060606060606,0.0,0.0,0.0151515151515151,0.0,0.2878787878787879,0.0,0.1212121212121212
YDR162C,NBP2,,dma958,233,71,0.3047210300429184,1.0,0.028169014084507,0.0,0.647887323943662,0.0140845070422535,0.0,0.0,0.0,0.0,0.2957746478873239,0.0,0.0140845070422535
YDR159W,SAC3,,dma960,75,23,0.3066666666666666,1.0,0.0434782608695652,0.0,0.5217391304347826,0.0,0.0434782608695652,0.0,0.0,0.0,0.391304347826087,0.0,0.0
YDL216C,RRI1,,dma793,163,26,0.1595092024539877,1.0,0.0384615384615384,0.0,0.4615384615384615,0.1923076923076923,0.0,0.0,0.0,0.0,0.2307692307692307,0.0,0.0769230769230769
YDL215C,GDH2,,dma794,108,31,0.287037037037037,1.0,0.032258064516129,0.0,0.5483870967741935,0.1612903225806451,0.0,0.0,0.0,0.0,0.2580645161290322,0.0,0.0
YDR392W,SPT3,,dma1125,421,139,0.3301662707838479,1.0,0.0215827338129496,0.0,0.7122302158273381,0.0,0.0,0.0,0.0,0.0,0.2589928057553957,0.0,0.0071942446043165
YDR389W,SAC7,,dma1127,357,64,0.1792717086834734,1.0,0.40625,0.0,0.15625,0.171875,0.0,0.0,0.015625,0.0,0.21875,0.0,0.03125
YDR080W,VPS41,,dma883,158,44,0.2784810126582278,1.0,0.0,0.0,0.8181818181818182,0.0227272727272727,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.0
YDR335W,MSN5,,dma1070,63,18,0.2857142857142857,1.0,0.0,0.0,0.5555555555555556,0.0555555555555555,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0
YDR144C,MKC7,,dma928,398,63,0.1582914572864321,1.0,0.2063492063492063,0.0,0.2698412698412698,0.238095238095238,0.0,0.0,0.0,0.0,0.1587301587301587,0.0,0.1269841269841269
YDR186C,,,dma966,337,51,0.1513353115727003,1.0,0.4117647058823529,0.0,0.2941176470588235,0.1372549019607843,0.0,0.0196078431372549,0.0,0.0,0.1176470588235294,0.0,0.0196078431372549
YDR018C,,,dma851,1206,334,0.2769485903814262,1.0,0.4640718562874251,0.0,0.1616766467065868,0.0988023952095808,0.0089820359281437,0.0029940119760479,0.0089820359281437,0.0,0.1467065868263473,0.0029940119760479,0.1047904191616766
YDR422C,SIP1,,dma1130,213,36,0.1690140845070422,1.0,0.1111111111111111,0.0,0.3888888888888889,0.1944444444444444,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0833333333333333
YDR409W,SIZ1,,dma1138,523,85,0.1625239005736137,1.0,0.3294117647058823,0.0,0.1294117647058823,0.1411764705882353,0.0,0.0,0.0235294117647058,0.0,0.2117647058823529,0.0,0.1647058823529411
YDR378C,LSM6,,dma1114,171,43,0.2514619883040935,1.0,0.0930232558139534,0.0,0.4186046511627907,0.0232558139534883,0.0,0.0,0.0,0.0,0.3953488372093023,0.0,0.0697674418604651
YER061C,CEM1,,dma1363,223,38,0.1704035874439461,1.0,0.0789473684210526,0.0,0.5789473684210527,0.0263157894736842,0.0,0.0,0.0,0.0,0.2894736842105263,0.0,0.0263157894736842
YER162C,RAD4,,dma1463,383,99,0.2584856396866841,1.0,0.0707070707070707,0.0,0.5454545454545454,0.0303030303030303,0.0,0.0,0.0,0.0,0.3434343434343434,0.0,0.0101010101010101
YER119C-A,,,dma1409,429,89,0.2074592074592074,1.0,0.2022471910112359,0.0,0.4157303370786517,0.1123595505617977,0.0112359550561797,0.0,0.0,0.0,0.1910112359550561,0.0,0.0674157303370786
YEL007W,MIT1,,dma1267,362,60,0.1657458563535911,1.0,0.35,0.0,0.35,0.0666666666666666,0.0333333333333333,0.0,0.0,0.0,0.15,0.0,0.05
YDR497C,ITR1,,dma1223,117,54,0.4615384615384615,1.0,0.1851851851851851,0.0,0.2222222222222222,0.0185185185185185,0.0925925925925925,0.0,0.0185185185185185,0.0,0.4629629629629629,0.0,0.0
YEL033W,MTC7,mtc7-supp1,dma1296,373,57,0.1528150134048257,1.0,0.2280701754385964,0.0,0.3684210526315789,0.0701754385964912,0.0175438596491228,0.0,0.0,0.0,0.2982456140350877,0.0,0.0175438596491228
YFL023W,BUD27,bud27-supp1,dma1478,151,31,0.2052980132450331,1.0,0.1612903225806451,0.0,0.3225806451612903,0.1290322580645161,0.032258064516129,0.0,0.0,0.0,0.3225806451612903,0.0,0.032258064516129
YER048C,CAJ1,,dma1353,502,114,0.2270916334661354,1.0,0.1578947368421052,0.0,0.5,0.0087719298245614,0.0,0.0,0.0087719298245614,0.0,0.3157894736842105,0.0,0.0087719298245614
YFR011C,MIC19,,dma1514,262,63,0.2404580152671755,1.0,0.0476190476190476,0.0,0.5873015873015873,0.0317460317460317,0.0,0.0,0.0158730158730158,0.0,0.3015873015873015,0.0,0.0158730158730158
YER111C,SWI4,,dma1394,212,79,0.3726415094339622,1.0,0.0886075949367088,0.0,0.4177215189873418,0.1012658227848101,0.0126582278481012,0.0,0.0,0.0,0.3544303797468354,0.0,0.0253164556962025
YER093C-A,AIM11,,dma1403,218,43,0.1972477064220183,1.0,0.0697674418604651,0.0,0.5813953488372093,0.0232558139534883,0.0,0.0,0.0,0.0,0.3255813953488372,0.0,0.0
YGR078C,PAC10,pac10-supp1,dma1860,145,32,0.2206896551724138,1.0,0.21875,0.0,0.46875,0.0625,0.0,0.0,0.0,0.0,0.25,0.0,0.0
YFR040W,SAP155,,dma1580,150,52,0.3466666666666667,1.0,0.4230769230769231,0.0,0.2115384615384615,0.0192307692307692,0.0576923076923076,0.0,0.0384615384615384,0.0,0.2115384615384615,0.0,0.0384615384615384
YGL046W,,,dma1629,481,69,0.1434511434511434,1.0,0.4202898550724637,0.0,0.2463768115942029,0.072463768115942,0.0434782608695652,0.0,0.0,0.0,0.217391304347826,0.0,0.0
YGL105W,ARC1,,dma1660,95,44,0.4631578947368421,1.0,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.3636363636363636,0.0,0.0
YGL149W,,,dma1704,370,67,0.1810810810810811,1.0,0.2985074626865671,0.0,0.208955223880597,0.0895522388059701,0.0298507462686567,0.0,0.0,0.0,0.3134328358208955,0.0,0.0597014925373134
YFR021W,ATG18,,dma1550,301,43,0.1428571428571428,1.0,0.1627906976744186,0.0,0.5348837209302325,0.0,0.0232558139534883,0.0,0.0,0.0,0.2558139534883721,0.0,0.0232558139534883
YGL032C,AGA2,,dma1614,465,69,0.1483870967741935,1.0,0.4057971014492754,0.0,0.2318840579710145,0.072463768115942,0.0,0.0,0.0,0.0,0.1884057971014492,0.0144927536231884,0.0869565217391304
YGL163C,RAD54,,dma1715,242,37,0.152892561983471,1.0,0.081081081081081,0.0,0.3783783783783784,0.0,0.054054054054054,0.0,0.0,0.0,0.4594594594594595,0.0,0.027027027027027
YGL024W,,,dma1619,485,169,0.3484536082474226,1.0,0.3668639053254438,0.0,0.3313609467455621,0.0650887573964497,0.0118343195266272,0.0,0.0,0.0,0.1420118343195266,0.0,0.0828402366863905
YGL198W,YIP4,,dma1719,247,36,0.145748987854251,1.0,0.3333333333333333,0.0,0.2777777777777778,0.1111111111111111,0.0,0.0,0.0277777777777777,0.0,0.1388888888888889,0.0,0.1111111111111111
YGL195W,GCN1,,dma1722,135,39,0.2888888888888888,1.0,0.0256410256410256,0.0,0.4871794871794871,0.0512820512820512,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.1025641025641025
YGL261C,PAU11,,dma1784,403,89,0.2208436724565756,1.0,0.3258426966292135,0.0,0.3033707865168539,0.0561797752808988,0.0,0.0,0.0112359550561797,0.0,0.2584269662921348,0.0,0.0449438202247191
YGL023C,PIB2,,dma1597,129,27,0.2093023255813953,1.0,0.2592592592592592,0.0,0.4074074074074074,0.074074074074074,0.0,0.0,0.0,0.0,0.1851851851851851,0.0,0.074074074074074
YHR202W,,,dma2244,1493,246,0.1647689216342933,1.0,0.3130081300813008,0.0,0.1747967479674796,0.1991869918699187,0.0040650406504065,0.0528455284552845,0.0121951219512195,0.0,0.1138211382113821,0.0121951219512195,0.1178861788617886
