Complex	ORF
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)E2
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)K2
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)F
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)L1
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)I
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)I1
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)I2
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)I2
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)I
cellular nitrogen compound biosynthetic process	GO:0044271	tC(GCA)B
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)B
cellular nitrogen compound biosynthetic process	GO:0044271	tG(UCC)N
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)N1
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)G3
cellular nitrogen compound biosynthetic process	GO:0044271	tH(GUG)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)L
cellular nitrogen compound biosynthetic process	GO:0044271	tW(CCA)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)C
cellular nitrogen compound biosynthetic process	GO:0044271	tL(CAA)C
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(UUG)D2
cellular nitrogen compound biosynthetic process	GO:0044271	tP(AGG)C
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)C
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)C
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)C
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(UUG)L
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)N
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)C
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(UUG)C
cellular nitrogen compound biosynthetic process	GO:0044271	tS(CGA)C
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)L
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)L2
cellular nitrogen compound biosynthetic process	GO:0044271	tL(CAA)N
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)D1
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)N
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)N1
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)N2
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)N2
cellular nitrogen compound biosynthetic process	GO:0044271	tK(UUU)D
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)N1
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)N2
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)D
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)D1
cellular nitrogen compound biosynthetic process	GO:0044271	tP(AGG)N
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)N2
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)C
cellular nitrogen compound biosynthetic process	GO:0044271	tV(UAC)D
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)D
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)D
cellular nitrogen compound biosynthetic process	GO:0044271	tH(GUG)M
cellular nitrogen compound biosynthetic process	GO:0044271	tI(UAU)D
cellular nitrogen compound biosynthetic process	GO:0044271	tV(CAC)D
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAA)D
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(UUG)D1
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)E
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)F
cellular nitrogen compound biosynthetic process	GO:0044271	tS(GCU)F
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)M2
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)G3
cellular nitrogen compound biosynthetic process	GO:0044271	tH(GUG)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tT(UGU)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)D
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)H2
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)I2
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)F1
cellular nitrogen compound biosynthetic process	GO:0044271	tA(UGC)L
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)G
cellular nitrogen compound biosynthetic process	GO:0044271	tH(GUG)H
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAA)N
cellular nitrogen compound biosynthetic process	GO:0044271	tR(ACG)D
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)D
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(UUG)D3
cellular nitrogen compound biosynthetic process	GO:0044271	tL(CAA)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)A
cellular nitrogen compound biosynthetic process	GO:0044271	tA(UGC)A
cellular nitrogen compound biosynthetic process	GO:0044271	tY(GUA)M1
cellular nitrogen compound biosynthetic process	GO:0044271	tL(CAA)A
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)A
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)M
cellular nitrogen compound biosynthetic process	GO:0044271	tG(UCC)O
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)J
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)O1
cellular nitrogen compound biosynthetic process	GO:0044271	tY(GUA)D
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAG)L1
cellular nitrogen compound biosynthetic process	GO:0044271	tI(UAU)L
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)H
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)D2
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)J
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)M
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)D2
cellular nitrogen compound biosynthetic process	GO:0044271	tE(CUC)D
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)O1
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)O1
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)J
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)J1
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)D
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)H
cellular nitrogen compound biosynthetic process	GO:0044271	tS(GCU)O
cellular nitrogen compound biosynthetic process	GO:0044271	tR(ACG)J
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)O2
cellular nitrogen compound biosynthetic process	GO:0044271	tX(XXX)D
cellular nitrogen compound biosynthetic process	GO:0044271	tY(GUA)O
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)O1
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)D
cellular nitrogen compound biosynthetic process	GO:0044271	tR(ACG)O
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)D1
cellular nitrogen compound biosynthetic process	GO:0044271	tY(GUA)F1
cellular nitrogen compound biosynthetic process	GO:0044271	tK(UUU)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tL(CAA)L
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)O2
cellular nitrogen compound biosynthetic process	GO:0044271	tY(GUA)J1
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)J1
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)J2
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)J3
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)J2
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)J
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)J1
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)H
cellular nitrogen compound biosynthetic process	GO:0044271	tG(CCC)D
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)J1
cellular nitrogen compound biosynthetic process	GO:0044271	tK(UUU)O
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)D3
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)J
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(UUG)H
cellular nitrogen compound biosynthetic process	GO:0044271	tW(CCA)J
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)J2
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAA)J
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAA)L
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)O2
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)D2
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)O2
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)H
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)O
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)J3
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)M
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)J
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)J2
cellular nitrogen compound biosynthetic process	GO:0044271	tR(CCU)J
cellular nitrogen compound biosynthetic process	GO:0044271	tL(CAA)D
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)J4
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)F2
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)L
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)M
cellular nitrogen compound biosynthetic process	GO:0044271	tG(CCC)O
cellular nitrogen compound biosynthetic process	GO:0044271	tY(GUA)J2
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)G3
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAG)J
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)O
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)F
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)M1
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)E
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)E
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)O1
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)E1
cellular nitrogen compound biosynthetic process	GO:0044271	tT(CGU)K
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)E
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)K
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAA)K
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)E1
cellular nitrogen compound biosynthetic process	GO:0044271	tH(GUG)E1
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)K
cellular nitrogen compound biosynthetic process	GO:0044271	tL(CAA)K
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)F
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)F
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)L
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)G
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)H1
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)M
cellular nitrogen compound biosynthetic process	GO:0044271	tA(UGC)O
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)K
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(UUG)E1
cellular nitrogen compound biosynthetic process	GO:0044271	tS(UGA)E
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)K
cellular nitrogen compound biosynthetic process	GO:0044271	tA(UGC)E
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)K1
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)E2
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)M1
cellular nitrogen compound biosynthetic process	GO:0044271	tW(CCA)M
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)O2
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)O3
cellular nitrogen compound biosynthetic process	GO:0044271	tW(CCA)K
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)K1
cellular nitrogen compound biosynthetic process	GO:0044271	tH(GUG)K
cellular nitrogen compound biosynthetic process	GO:0044271	tH(GUG)E2
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)E2
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)E1
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(UUG)E2
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)E1
cellular nitrogen compound biosynthetic process	GO:0044271	tW(CCA)P
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)K2
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)E2
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)E3
cellular nitrogen compound biosynthetic process	GO:0044271	tR(ACG)E
cellular nitrogen compound biosynthetic process	GO:0044271	tY(GUA)F2
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)M2
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)P
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAG)L2
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)M
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)M
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)P
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tL(CAA)G3
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)L1
cellular nitrogen compound biosynthetic process	GO:0044271	tL(CAA)M
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)H
cellular nitrogen compound biosynthetic process	GO:0044271	tC(GCA)P1
cellular nitrogen compound biosynthetic process	GO:0044271	tT(UGU)H
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)P1
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)P1
cellular nitrogen compound biosynthetic process	GO:0044271	tK(CUU)P
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)P2
cellular nitrogen compound biosynthetic process	GO:0044271	tL(CAA)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tT(UGU)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tX(XXX)L
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)M
cellular nitrogen compound biosynthetic process	GO:0044271	tV(CAC)H
cellular nitrogen compound biosynthetic process	GO:0044271	tV(AAC)M3
cellular nitrogen compound biosynthetic process	GO:0044271	tS(UGA)P
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)L2
cellular nitrogen compound biosynthetic process	GO:0044271	tT(UGU)P
cellular nitrogen compound biosynthetic process	GO:0044271	tK(UUU)P
cellular nitrogen compound biosynthetic process	GO:0044271	tC(GCA)P2
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)P
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)P1
cellular nitrogen compound biosynthetic process	GO:0044271	tR(ACG)K
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)L
cellular nitrogen compound biosynthetic process	GO:0044271	tL(GAG)G
cellular nitrogen compound biosynthetic process	GO:0044271	tK(UUU)G2
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)N1
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)P
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)P2
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)L
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)P2
cellular nitrogen compound biosynthetic process	GO:0044271	tP(UGG)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tW(UCA)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tC(GCA)G
cellular nitrogen compound biosynthetic process	GO:0044271	tE(UUC)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tS(UGA)Q2
cellular nitrogen compound biosynthetic process	GO:0044271	tT(UGU)Q1
cellular nitrogen compound biosynthetic process	GO:0044271	tC(GCA)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tH(GUG)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAA)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(UUG)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tK(UUU)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)Q1
cellular nitrogen compound biosynthetic process	GO:0044271	tG(UCC)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tR(ACG)L
cellular nitrogen compound biosynthetic process	GO:0044271	tR(CCG)L
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tS(GCU)Q1
cellular nitrogen compound biosynthetic process	GO:0044271	tR(ACG)Q2
cellular nitrogen compound biosynthetic process	GO:0044271	tA(UGC)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tI(GAU)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tY(GUA)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)Q1
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)M1
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tT(UAG)Q2
cellular nitrogen compound biosynthetic process	GO:0044271	tV(UAC)Q
cellular nitrogen compound biosynthetic process	GO:0044271	tM(CAU)Q2
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAA)B1
cellular nitrogen compound biosynthetic process	GO:0044271	tN(GUU)G
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)G3
cellular nitrogen compound biosynthetic process	GO:0044271	tF(GAA)B
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)G
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)M2
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)K
cellular nitrogen compound biosynthetic process	GO:0044271	tK(UUU)K
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)I1
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(CUG)M
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)B
cellular nitrogen compound biosynthetic process	GO:0044271	tG(GCC)B
cellular nitrogen compound biosynthetic process	GO:0044271	tI(AAU)I1
cellular nitrogen compound biosynthetic process	GO:0044271	tA(AGC)G
cellular nitrogen compound biosynthetic process	GO:0044271	tE(CUC)I
cellular nitrogen compound biosynthetic process	GO:0044271	tS(AGA)B
cellular nitrogen compound biosynthetic process	GO:0044271	tY(GUA)M2
cellular nitrogen compound biosynthetic process	GO:0044271	tT(AGU)B
cellular nitrogen compound biosynthetic process	GO:0044271	tG(UCC)G
cellular nitrogen compound biosynthetic process	GO:0044271	TLC1
cellular nitrogen compound biosynthetic process	GO:0044271	tW(CCA)G1
cellular nitrogen compound biosynthetic process	GO:0044271	tK(UUU)L
cellular nitrogen compound biosynthetic process	GO:0044271	tV(UAC)B
cellular nitrogen compound biosynthetic process	GO:0044271	tL(UAA)B2
cellular nitrogen compound biosynthetic process	GO:0044271	tQ(UUG)B
cellular nitrogen compound biosynthetic process	GO:0044271	tA(UGC)G
cellular nitrogen compound biosynthetic process	GO:0044271	tR(UCU)B
cellular nitrogen compound biosynthetic process	GO:0044271	tD(GUC)B
cellular nitrogen compound biosynthetic process	GO:0044271	tS(UGA)I
cellular nitrogen compound biosynthetic process	GO:0044271	Q0130
cellular nitrogen compound biosynthetic process	GO:0044271	Q0140
cellular nitrogen compound biosynthetic process	GO:0044271	Q0050
cellular nitrogen compound biosynthetic process	GO:0044271	Q0055
cellular nitrogen compound biosynthetic process	GO:0044271	Q0080
cellular nitrogen compound biosynthetic process	GO:0044271	Q0085
cellular nitrogen compound biosynthetic process	GO:0044271	YAL051W
cellular nitrogen compound biosynthetic process	GO:0044271	YAL043C
cellular nitrogen compound biosynthetic process	GO:0044271	YAL038W
cellular nitrogen compound biosynthetic process	GO:0044271	YAL036C
cellular nitrogen compound biosynthetic process	GO:0044271	YAL035W
cellular nitrogen compound biosynthetic process	GO:0044271	YAL021C
cellular nitrogen compound biosynthetic process	GO:0044271	YAL013W
cellular nitrogen compound biosynthetic process	GO:0044271	YAL011W
cellular nitrogen compound biosynthetic process	GO:0044271	YAL005C
cellular nitrogen compound biosynthetic process	GO:0044271	YAL003W
cellular nitrogen compound biosynthetic process	GO:0044271	YAL001C
cellular nitrogen compound biosynthetic process	GO:0044271	YAR007C
cellular nitrogen compound biosynthetic process	GO:0044271	YAR009C
cellular nitrogen compound biosynthetic process	GO:0044271	YAR015W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL103C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL100W-B
cellular nitrogen compound biosynthetic process	GO:0044271	YBL099W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL098W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL093C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL092W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL090W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL087C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL080C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL076C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL072C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL068W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL066C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL052C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL039C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL038W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL035C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL033C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL032W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL027W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL025W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL021C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL014C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL013W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL008W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL006C
cellular nitrogen compound biosynthetic process	GO:0044271	YBL005W
cellular nitrogen compound biosynthetic process	GO:0044271	YBL005W-B
cellular nitrogen compound biosynthetic process	GO:0044271	YBR010W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR012W-B
cellular nitrogen compound biosynthetic process	GO:0044271	YBR031W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR033W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR035C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR039W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR048W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR049C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR061C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR066C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR079C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR081C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR083W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR084W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR084C-A
cellular nitrogen compound biosynthetic process	GO:0044271	YBR088C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR089C-A
cellular nitrogen compound biosynthetic process	GO:0044271	YBR095C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR101C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR111W-A
cellular nitrogen compound biosynthetic process	GO:0044271	YBR112C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR118W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR121C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR122C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR123C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR139W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR143C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR146W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR150C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR153W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR154C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR176W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR181C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR182C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR183W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR189W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR191W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR193C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR196C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR198C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR213W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR215W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR221C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR231C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR239C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR240C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR242W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR245C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR251W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR252W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR253W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR256C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR261C
cellular nitrogen compound biosynthetic process	GO:0044271	YBR268W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR278W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR279W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR282W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR289W
cellular nitrogen compound biosynthetic process	GO:0044271	YBR297W
cellular nitrogen compound biosynthetic process	GO:0044271	YCL075W
cellular nitrogen compound biosynthetic process	GO:0044271	YCL074W
cellular nitrogen compound biosynthetic process	GO:0044271	YCL067C
cellular nitrogen compound biosynthetic process	GO:0044271	YCL066W
cellular nitrogen compound biosynthetic process	GO:0044271	YCL058W-A
cellular nitrogen compound biosynthetic process	GO:0044271	YCL050C
cellular nitrogen compound biosynthetic process	GO:0044271	YCL047C
cellular nitrogen compound biosynthetic process	GO:0044271	YCL040W
cellular nitrogen compound biosynthetic process	GO:0044271	YCL037C
