ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YCL061C,MRC1,,dma522,494,119,0.2408906882591093,1.0,0.226890756302521,0.134453781512605,0.0084033613445378,0.3865546218487395,0.042016806722689,0.0,0.1428571428571428,0.0588235294117647,0.0,0.0,0.0
YDL074C,BRE1,,dma651,198,127,0.6414141414141414,1.0,0.5826771653543307,0.0157480314960629,0.0,0.0314960629921259,0.0078740157480314,0.0,0.0,0.3622047244094488,0.0,0.0,0.0
YCR044C,PER1,per1-supp1,dma575,336,97,0.2886904761904761,1.0,0.134020618556701,0.1546391752577319,0.0309278350515463,0.3298969072164948,0.1030927835051546,0.0,0.0515463917525773,0.1958762886597938,0.0,0.0,0.0
YDR414C,ERD1,,dma1135,221,64,0.2895927601809955,1.0,0.234375,0.125,0.0,0.390625,0.03125,0.0,0.125,0.09375,0.0,0.0,0.0
YDR284C,DPP1,,dma1041,450,151,0.3355555555555555,1.0,0.2781456953642384,0.1986754966887417,0.0066225165562913,0.2781456953642384,0.0331125827814569,0.0,0.152317880794702,0.0529801324503311,0.0,0.0,0.0
YDR186C,,,dma966,169,78,0.4615384615384615,1.0,0.4230769230769231,0.0641025641025641,0.0,0.1794871794871795,0.1282051282051282,0.0,0.1282051282051282,0.0769230769230769,0.0,0.0,0.0
YDR150W,NUM1,,dma946,69,24,0.3478260869565217,1.0,0.4166666666666667,0.0416666666666666,0.0,0.2916666666666667,0.0416666666666666,0.0,0.0416666666666666,0.1666666666666666,0.0,0.0,0.0
YDR163W,CWC15,,dma957,339,90,0.2654867256637168,1.0,0.3,0.1555555555555555,0.0111111111111111,0.2666666666666666,0.0222222222222222,0.0,0.1444444444444444,0.1,0.0,0.0,0.0
YDL218W,,,dma815,344,84,0.2441860465116279,1.0,0.2023809523809523,0.2142857142857142,0.0,0.1428571428571428,0.0476190476190476,0.0,0.3214285714285714,0.0714285714285714,0.0,0.0,0.0
YDR368W,YPR1,,dma1098,643,152,0.2363919129082426,1.0,0.3092105263157895,0.1513157894736842,0.0,0.1578947368421052,0.0855263157894736,0.0,0.1381578947368421,0.1578947368421052,0.0,0.0,0.0
